"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"6","AckRequestProcessor.java","0","48","0","6","0","7","0","21","0","4","NO"
"6","AsyncCallback.java","0","47","0","12","0","13","0","23","0","4","YES"
"6","AuthenticationProvider.java","0","74","0","11","0","12","0","19","0","2","NO"
"6","AuthFastLeaderElection.java","0","862","0","39","0","160","0","44","0","12","YES"
"6","BinaryInputArchive.java","0","118","0","15","0","15","0","23","0","6","YES"
"6","BinaryOutputArchive.java","0","132","0","15","0","17","0","23","0","2","NO"
"6","BKDefs.java","0","97","0","49","0","49","0","4","0","4","NO"
"6","BKException.java","0","147","0","49","0","49","0","6","0","6","YES"
"6","Bookie.java","0","326","0","54","0","57","0","12","0","16","NO"
"6","BookieClient.java","0","397","0","79","0","97","0","10","0","12","YES"
"6","BookieException.java","0","73","0","73","0","73","0","2","0","2","NO"
"6","BookieHandle.java","1","334","0","47","1","65","2","14","4","18","NO"
"6","BookieProtocol.java","0","69","0","34","0","35","0","4","0","4","YES"
"6","BookieServer.java","0","180","0","45","0","46","0","8","0","8","NO"
"6","BookKeeper.java","0","555","0","79","0","129","0","14","0","14","YES"
"6","ByteBufferInputStream.java","0","65","0","11","0","12","0","17","0","0","NO"
"6","CGenerator.java","0","82","0","10","0","11","0","24","0","2","YES"
"6","ClientBase.java","1","309","17","30","24","38","4","24","6","26","YES"
"6","ClientCBWorker.java","0","125","0","20","0","24","0","12","0","14","NO"
"6","ClientCnxn.java","1","1029","2","30","25","73","2","91","2","54","YES"
"6","ClientWatchManager.java","0","36","0","11","0","13","0","6","0","4","YES"
"6","CommitProcessor.java","0","169","0","11","0","27","0","44","0","14","YES"
"6","CommonNames.java","0","27","0","3","0","4","0","16","0","2","NO"
"6","ConnectionBean.java","0","109","0","9","0","12","0","22","0","8","YES"
"6","ConnectionMXBean.java","0","62","0","7","0","8","0","16","0","2","YES"
"6","CppGenerator.java","0","78","0","10","0","12","0","21","0","2","YES"
"6","CreateMode.java","0","81","0","81","0","81","0","2","0","0","YES"
"6","CsvInputArchive.java","0","188","0","29","0","30","0","19","0","2","NO"
"6","CsvOutputArchive.java","0","135","0","17","0","18","0","23","0","4","NO"
"6","DataNode.java","0","120","0","7","0","11","0","43","0","18","YES"
"6","DataNodeV1.java","0","117","0","117","0","117","0","2","0","0","NO"
"6","DataTree.java","0","1001","0","30","0","36","0","80","0","34","YES"
"6","DataTreeBean.java","0","63","0","6","0","11","0","20","0","4","NO"
"6","DataTreeMXBean.java","0","43","0","5","0","7","0","16","0","2","NO"
"6","DataTreeV1.java","0","525","0","175","0","179","0","6","0","4","NO"
"6","DigestAuthenticationProvider.java","0","125","0","13","0","31","0","27","0","6","NO"
"6","Election.java","0","24","0","2","0","3","0","20","0","2","YES"
"6","Environment.java","0","90","0","45","0","45","0","4","0","4","NO"
"6","FastLeaderElection.java","1","670","15","20","25","47","6","64","18","58","YES"
"6","FatJarMain.java","0","114","0","114","0","114","0","2","0","0","NO"
