@relation dataset1
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,2,41,5,5,6,6,8,8,0,0,0
1,3,47,5,5,6,6,9,9,0,0,0
1,2,73,9,9,10,10,8,8,0,0,0
1,6,809,44,44,185,185,18,18,2,2,0
1,2,119,13,13,13,13,9,9,0,0,0
1,3,135,13,13,14,14,10,10,0,0,0
1,2,65,8,8,9,9,8,8,0,0,0
1,3,80,8,8,8,8,10,10,0,0,0
1,6,928,29,29,84,84,32,32,9,9,0
1,2,36,11,11,13,13,3,3,2,2,0
1,5,171,10,10,30,30,17,17,2,2,0
1,2,27,3,3,4,4,7,7,0,0,0
1,3,101,11,11,12,12,9,9,1,1,0
1,2,62,8,8,9,9,7,7,0,0,0
1,2,35,5,5,6,6,7,7,0,0,0
1,2,75,8,8,8,8,9,9,0,0,0
1,1,81,81,81,81,81,1,1,0,0,0
1,2,189,23,23,23,23,8,8,0,0,0
1,4,136,13,13,14,14,10,10,1,1,0
1,4,113,7,7,10,10,15,15,3,3,0
1,1,117,117,117,117,117,1,1,0,0,0
1,5,719,24,24,29,29,29,29,6,6,0
1,2,80,8,8,10,10,9,9,1,1,0
1,2,42,6,6,6,6,7,7,0,0,0
1,2,48,6,6,8,8,7,7,0,0,0
1,1,524,524,524,524,524,1,1,0,0,0
1,3,115,10,10,32,32,11,11,0,0,0
1,4,24,2,2,3,3,10,10,1,1,0
1,2,27,4,4,4,4,7,7,0,0,0
1,6,564,29,29,62,62,19,19,9,9,0
1,3,144,28,28,31,31,5,5,8,8,0
1,2,437,109,109,110,110,4,4,8,8,0
1,3,222,55,55,57,57,4,4,3,3,0
1,6,239,10,10,33,33,22,22,5,5,0
1,6,341,15,15,78,78,22,22,4,4,0
1,2,26,3,3,4,4,7,7,0,0,0
1,6,356,17,17,54,54,21,21,3,3,0
1,2,24,3,3,4,4,7,7,0,0,0
1,5,97,6,6,7,7,16,16,2,2,0
1,3,77,7,7,9,9,10,10,0,0,0
1,2,31,16,16,16,16,2,2,2,2,0
1,6,160,7,7,10,10,22,22,4,4,0
1,2,61,6,6,8,8,9,9,0,0,0
1,2,36,4,4,4,4,8,8,0,0,0
1,2,41,5,5,5,5,8,8,0,0,0
1,2,104,11,11,12,12,9,9,0,0,0
1,2,56,6,6,6,6,9,9,0,0,0
1,3,39,4,4,4,4,9,9,0,0,0
1,2,97,12,12,13,13,8,8,0,0,0
1,2,32,4,4,4,4,8,8,0,0,0
1,2,50,6,6,6,6,8,8,0,0,0
1,2,37,4,4,4,4,8,8,0,0,0
1,2,90,11,11,11,11,8,8,0,0,0
1,2,68,7,7,8,8,9,9,0,0,0
1,2,36,4,4,4,4,8,8,0,0,0
1,2,32,4,4,4,4,8,8,0,0,0
