@relation dataset-16-training
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,2,37,6,6,6,6,17,17,0,0,0
1,2,90,15,15,16,16,17,17,0,0,0
1,2,68,10,10,11,11,19,19,0,0,0
1,2,36,6,6,6,6,17,17,0,0,0
1,2,32,5,5,5,5,17,17,0,0,0
1,2,36,6,6,6,6,17,17,0,0,0
1,2,91,16,16,16,16,17,17,0,0,0
1,4,458,54,54,56,56,25,25,0,0,0
1,2,43,7,7,7,7,17,17,0,0,0
1,2,128,22,22,22,22,17,17,0,0,0
1,3,96,15,15,15,15,19,19,0,0,0
1,2,303,31,31,36,36,23,23,0,0,1
1,6,570,39,39,47,47,42,42,10,10,1
1,2,27,3,3,4,4,14,14,0,0,0
1,5,175,15,15,37,37,35,35,6,6,1
1,2,39,5,5,6,6,14,14,0,0,0
1,2,31,4,4,5,5,14,14,0,0,0
1,2,24,3,3,4,4,14,14,0,0,0
1,5,80,7,7,9,9,32,32,4,4,1
1,3,48,6,6,7,7,16,16,2,2,0
1,2,31,4,4,5,5,14,14,0,0,0
1,3,65,9,9,10,10,21,21,2,2,1
1,3,203,18,18,26,26,22,22,6,6,0
1,2,119,29,29,37,37,8,8,6,6,0
1,3,113,11,11,16,16,20,20,4,4,0
1,2,72,23,23,26,26,6,6,4,4,0
1,3,158,19,19,20,20,16,16,0,0,1
1,5,786,51,51,127,127,45,45,8,8,1
1,2,31,4,4,5,5,14,14,0,0,0
1,3,104,13,13,14,14,16,16,2,2,0
1,2,71,10,10,11,11,14,14,0,0,0
1,2,50,6,6,7,7,16,16,2,2,0
1,2,74,10,10,11,11,14,14,0,0,0
1,2,50,6,6,7,7,16,16,2,2,0
1,2,77,11,11,12,12,14,14,0,0,0
1,3,104,9,9,13,13,22,22,6,6,0
1,3,51,5,5,7,7,20,20,4,4,0
1,2,86,12,12,13,13,14,14,0,0,0
1,3,44,7,7,7,7,19,19,0,0,0
1,2,189,33,33,33,33,17,17,0,0,0
1,6,414,22,22,54,54,54,54,12,12,1
1,3,36,3,3,10,10,22,22,0,0,0
1,5,69,6,6,10,10,30,30,4,4,1
1,4,71,6,6,17,17,24,24,2,2,0
1,3,85,9,9,29,29,25,25,2,2,1
1,2,40,5,5,6,6,14,14,0,0,0
1,5,508,33,33,89,89,30,30,4,4,1
1,2,30,4,4,5,5,14,14,0,0,0
1,6,531,25,25,104,104,59,59,14,14,1
1,4,207,12,12,46,46,34,34,4,4,1
1,2,99,33,33,35,35,6,6,6,6,1
1,2,63,9,9,10,10,14,14,0,0,0
1,3,73,7,7,10,10,20,20,0,0,1
1,2,473,74,74,76,76,19,19,0,0,0
1,2,80,14,14,14,14,17,17,0,0,0
1,2,750,132,132,132,132,17,17,0,0,0
1,2,30,5,5,5,5,17,17,0,0,0
1,2,89,15,15,15,15,17,17,0,0,0
1,2,106,18,18,18,18,17,17,0,0,0
1,2,41,5,5,7,7,14,14,0,0,0
1,2,30,4,4,5,5,14,14,0,0,0
1,6,178,14,14,16,16,34,34,6,6,1
1,2,34,5,5,6,6,17,17,0,0,1
1,3,49,5,5,7,7,26,26,0,0,0
1,1,95,95,95,95,95,2,2,2,2,0
1,4,281,29,29,67,67,27,27,0,0,0
1,2,35,5,5,6,6,14,14,0,0,0
1,3,71,9,9,10,10,23,23,0,0,1
1,3,63,5,5,13,13,22,22,0,0,1
1,2,30,4,4,5,5,14,14,0,0,0
1,2,35,5,5,6,6,14,14,0,0,0
1,3,126,14,14,15,15,18,18,0,0,1
1,2,53,8,8,9,9,19,19,0,0,1
1,5,198,15,15,18,18,37,37,2,2,1
1,2,412,72,72,72,72,17,17,0,0,0
1,2,54,27,27,28,28,4,4,4,4,1
1,5,119,13,13,50,50,35,35,6,6,1
1,2,90,15,15,16,16,17,17,0,0,0
1,2,136,24,24,24,24,17,17,0,0,0
1,3,108,16,16,18,18,19,19,2,2,0
1,1,103,104,104,104,104,2,2,2,2,1
1,1,163,163,163,163,163,2,2,0,0,0
1,1,30,30,30,30,30,2,2,0,0,0
1,1,291,291,291,291,291,2,2,0,0,0
1,3,275,91,91,101,101,6,6,8,8,1
1,3,251,39,39,39,39,19,19,2,2,1
1,3,108,9,9,19,19,24,24,0,0,1
1,2,71,5,5,10,10,26,26,0,0,1
1,4,63,5,5,8,8,22,22,6,6,0
1,1,73,36,36,37,37,4,4,0,0,1
1,2,97,10,10,14,14,23,23,4,4,1
1,3,102,9,9,11,11,29,29,0,0,0
1,2,226,39,39,40,40,17,17,0,0,0
1,3,227,35,35,36,36,19,19,0,0,0
1,2,33,4,4,5,5,14,14,0,0,0
1,3,101,11,11,12,12,26,26,2,2,1
1,6,927,36,36,94,94,73,73,24,24,1
1,2,209,35,35,37,37,12,12,8,8,1
1,2,55,8,8,9,9,14,14,0,0,0
1,2,69,9,9,11,11,14,14,0,0,0
1,6,549,28,28,159,159,62,62,12,12,1
1,3,106,13,13,14,14,16,16,2,2,1
1,2,72,36,36,38,38,4,4,4,4,1
1,2,67,9,9,10,10,14,14,0,0,0
1,3,83,8,8,17,17,20,20,2,2,0
2,0,41,0,7,0,8,0,17,0,0,0
2,0,47,0,7,0,8,0,19,0,0,1
2,0,73,0,12,0,13,0,17,0,0,0
2,0,809,0,44,0,185,0,36,0,4,1
2,0,119,0,18,0,18,0,19,0,0,0
2,0,135,0,17,0,18,0,21,0,0,0
2,0,65,0,11,0,12,0,17,0,0,0
2,0,80,0,10,0,11,0,22,0,0,0
2,1,941,13,39,89,94,2,67,6,24,1
2,0,36,0,11,0,13,0,6,0,4,1
2,0,171,0,13,0,33,0,36,0,4,1
2,0,27,0,3,0,4,0,14,0,0,0
2,0,101,0,11,0,12,0,18,0,2,1
2,0,62,0,8,0,9,0,14,0,0,1
2,0,35,0,5,0,6,0,14,0,0,0
2,0,75,0,11,0,12,0,19,0,0,0
2,0,81,0,81,0,81,0,2,0,0,0
2,0,189,0,33,0,33,0,17,0,0,0
2,0,136,0,19,0,19,0,21,0,2,0
2,1,113,0,9,1,11,2,33,4,10,0
2,0,117,0,117,0,117,0,2,0,0,0
2,0,719,0,31,0,36,0,60,0,12,1
2,0,80,0,8,0,10,0,18,0,2,0
2,0,42,0,6,0,6,0,14,0,0,0
2,0,48,0,6,0,8,0,14,0,0,0
2,0,524,0,524,0,524,0,2,0,0,0
2,0,115,0,14,0,35,0,23,0,0,0
2,0,24,0,2,0,3,0,20,0,2,1
2,1,90,90,90,90,90,2,2,2,2,0
2,0,27,0,4,0,4,0,14,0,0,0
2,0,564,0,29,0,62,0,38,0,18,1
2,0,144,0,28,0,31,0,10,0,16,1
2,0,437,0,109,0,110,0,8,0,16,1
2,0,222,0,55,0,57,0,8,0,6,1
2,0,239,0,15,0,36,0,46,0,10,1
2,0,341,0,21,0,82,0,46,0,8,1
2,0,26,0,3,0,4,0,14,0,0,0
2,0,356,0,22,0,57,0,45,0,6,0
2,0,24,0,3,0,4,0,14,0,0,0
2,0,97,0,8,0,9,0,34,0,4,0
2,0,77,0,10,0,12,0,21,0,0,0
2,0,31,0,16,0,16,0,4,0,4,0
2,0,160,0,9,0,13,0,47,0,8,1
2,0,61,0,9,0,10,0,19,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,41,0,7,0,7,0,17,0,0,0
2,0,104,0,16,0,17,0,19,0,0,0
2,0,56,0,8,0,9,0,19,0,0,0
2,0,39,0,5,0,6,0,20,0,0,0
2,0,97,0,17,0,17,0,17,0,0,0
2,0,32,0,5,0,5,0,17,0,0,0
2,0,50,0,8,0,8,0,17,0,0,0
2,0,37,0,6,0,6,0,17,0,0,0
2,0,90,0,15,0,16,0,17,0,0,0
2,0,68,0,10,0,11,0,19,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,32,0,5,0,5,0,17,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,91,0,16,0,16,0,17,0,0,0
2,0,458,0,54,0,56,0,25,0,0,0
2,0,43,0,7,0,7,0,17,0,0,0
2,0,128,0,22,0,22,0,17,0,0,0
2,0,96,0,15,0,15,0,19,0,0,0
2,0,303,0,31,0,36,0,23,0,0,1
2,0,570,0,39,0,47,0,42,0,10,1
2,0,27,0,3,0,4,0,14,0,0,0
2,0,175,0,15,0,37,0,35,0,6,1
2,0,39,0,5,0,6,0,14,0,0,0
2,0,31,0,4,0,5,0,14,0,0,0
2,0,24,0,3,0,4,0,14,0,0,0
2,0,80,0,7,0,9,0,32,0,4,1
2,0,48,0,6,0,7,0,16,0,2,0
2,0,31,0,4,0,5,0,14,0,0,0
2,0,65,0,9,0,10,0,21,0,2,1
2,0,203,0,18,0,26,0,22,0,6,0
2,1,124,5,24,6,30,2,10,4,10,0
2,0,113,0,11,0,16,0,20,0,4,0
2,1,78,7,19,8,21,2,8,4,8,0
2,0,158,0,19,0,20,0,16,0,0,1
2,1,800,14,49,17,123,2,47,2,10,1
2,0,31,0,4,0,5,0,14,0,0,0
2,0,104,0,13,0,14,0,16,0,2,0
2,0,71,0,10,0,11,0,14,0,0,0
2,0,50,0,6,0,7,0,16,0,2,0
2,0,74,0,10,0,11,0,14,0,0,0
2,0,50,0,6,0,7,0,16,0,2,0
2,0,77,0,11,0,12,0,14,0,0,0
2,0,104,0,9,0,13,0,22,0,6,0
2,0,51,0,5,0,7,0,20,0,4,0
2,0,86,0,12,0,13,0,14,0,0,0
2,0,44,0,7,0,7,0,19,0,0,0
2,0,189,0,33,0,33,0,17,0,0,0
2,0,414,0,22,0,54,0,54,0,12,1
2,0,36,0,3,0,10,0,22,0,0,0
2,0,69,0,6,0,10,0,30,0,4,1
2,0,71,0,6,0,17,0,24,0,2,0
2,0,85,0,9,0,29,0,25,0,2,1
2,0,40,0,5,0,6,0,14,0,0,0
2,0,508,0,33,0,89,0,30,0,4,1
2,0,30,0,4,0,5,0,14,0,0,0
2,0,531,0,25,0,104,0,59,0,14,1
2,1,200,-8,11,108,50,2,36,4,8,1
2,1,104,5,26,6,28,2,8,4,10,1
2,0,63,0,9,0,10,0,14,0,0,0
2,0,73,0,7,0,10,0,20,0,0,1
2,0,473,0,74,0,76,0,19,0,0,0
2,0,80,0,14,0,14,0,17,0,0,0
2,0,750,0,132,0,132,0,17,0,0,0
2,0,30,0,5,0,5,0,17,0,0,0
2,0,89,0,15,0,15,0,17,0,0,0
2,0,106,0,18,0,18,0,17,0,0,0
2,0,41,0,5,0,7,0,14,0,0,0
2,0,30,0,4,0,5,0,14,0,0,0
2,0,178,0,14,0,16,0,34,0,6,1
2,0,34,0,5,0,6,0,17,0,0,1
2,0,49,0,5,0,7,0,26,0,0,0
2,0,95,0,95,0,95,0,2,0,2,0
2,0,281,0,29,0,67,0,27,0,0,0
2,0,35,0,5,0,6,0,14,0,0,0
2,1,72,2,8,2,9,2,25,2,2,1
2,1,61,-2,5,3,12,2,24,4,4,1
2,0,30,0,4,0,5,0,14,0,0,0
2,0,35,0,5,0,6,0,14,0,0,0
2,0,126,0,14,0,15,0,18,0,0,1
2,0,53,0,8,0,9,0,19,0,0,1
2,0,198,0,15,0,18,0,37,0,2,1
2,0,412,0,72,0,72,0,17,0,0,0
2,0,54,0,27,0,28,0,4,0,4,1
2,1,130,11,12,16,49,2,37,6,12,1
2,0,90,0,15,0,16,0,17,0,0,0
2,0,136,0,24,0,24,0,17,0,0,0
2,0,108,0,16,0,18,0,19,0,2,0
2,0,103,0,104,0,104,0,2,0,2,1
2,0,163,0,163,0,163,0,2,0,0,0
2,0,30,0,30,0,30,0,2,0,0,0
2,0,291,0,291,0,291,0,2,0,0,0
2,0,275,0,91,0,101,0,6,0,8,1
2,0,251,0,39,0,39,0,19,0,2,1
2,0,108,0,9,0,19,0,24,0,0,1
2,0,71,0,5,0,10,0,26,0,0,1
2,0,63,0,5,0,8,0,22,0,6,0
2,0,73,0,36,0,37,0,4,0,0,1
2,0,97,0,10,0,14,0,23,0,4,1
2,0,102,0,9,0,11,0,29,0,0,0
2,0,226,0,39,0,40,0,17,0,0,0
2,0,227,0,35,0,36,0,19,0,0,0
2,0,33,0,4,0,5,0,14,0,0,0
2,0,101,0,11,0,12,0,26,0,2,1
2,1,936,5,34,6,89,4,77,8,32,1
2,0,209,0,35,0,37,0,12,0,8,1
2,0,55,0,8,0,9,0,14,0,0,0
2,0,69,0,9,0,11,0,14,0,0,0
2,1,555,6,27,8,155,2,64,2,14,1
2,0,106,0,13,0,14,0,16,0,2,1
2,1,78,6,26,8,28,2,6,4,8,1
2,0,67,0,9,0,10,0,14,0,0,0
2,0,83,0,8,0,17,0,20,0,2,0
3,0,41,0,7,0,8,0,17,0,0,0
3,1,34,34,34,34,34,2,2,2,2,0
3,0,47,0,7,0,8,0,19,0,0,1
3,1,74,1,11,2,12,2,19,2,2,0
3,1,803,-6,42,9,175,2,38,2,6,1
3,0,119,0,18,0,18,0,19,0,0,0
3,0,135,0,17,0,18,0,21,0,0,0
3,1,117,117,117,117,117,2,2,2,2,1
3,1,309,309,309,309,309,2,2,2,2,0
3,1,308,308,308,308,308,2,2,2,2,1
3,1,225,225,225,225,225,2,2,2,2,1
3,1,63,63,63,63,63,2,2,2,2,1
3,1,162,162,162,162,162,2,2,2,2,0
3,1,631,631,631,631,631,2,2,2,2,1
3,0,65,0,11,0,12,0,17,0,0,0
3,0,80,0,10,0,11,0,22,0,0,0
3,2,309,152,152,154,154,4,4,4,4,1
3,1,101,101,101,101,101,2,2,2,2,0
3,3,963,4,34,7,82,10,77,16,40,1
3,0,36,0,11,0,13,0,6,0,4,1
3,1,168,-2,12,1,30,4,40,6,10,1
3,1,27,0,3,1,4,2,16,2,2,0
3,2,109,3,9,10,12,4,22,6,8,1
3,1,62,0,7,1,8,2,16,2,2,1
3,0,75,0,11,0,12,0,19,0,0,0
3,0,81,0,81,0,81,0,2,0,0,0
3,0,189,0,33,0,33,0,17,0,0,0
3,0,136,0,19,0,19,0,21,0,2,0
3,2,118,2,8,13,12,4,37,4,14,0
3,0,117,0,117,0,117,0,2,0,0,0
3,3,963,49,34,56,39,10,70,12,24,1
3,1,63,-16,6,17,11,2,20,2,4,0
3,1,43,1,5,9,7,2,16,2,2,0
3,2,525,0,175,7,179,4,6,4,4,0
3,1,116,1,13,5,33,2,25,2,2,1
3,0,24,0,2,0,3,0,20,0,2,1
3,0,90,0,90,0,90,0,2,0,2,0
3,1,27,27,27,27,27,2,2,2,2,0
3,3,589,6,25,26,56,8,46,6,24,1
3,1,114,114,114,114,114,2,2,0,0,0
3,1,168,12,24,13,26,4,14,8,24,1
3,1,439,2,87,3,89,2,10,4,20,1
3,1,249,9,35,9,37,6,14,10,16,1
3,3,242,1,13,5,33,6,52,6,16,1
3,2,363,11,20,83,82,4,50,4,12,1
3,1,45,-9,2,17,6,2,16,2,2,0
3,2,367,5,21,10,53,4,49,4,10,1
3,1,37,-10,1,14,5,2,16,2,2,0
3,2,96,-1,7,1,8,4,38,4,8,0
3,0,77,0,10,0,12,0,21,0,0,1
3,0,31,0,16,0,16,0,4,0,4,0
3,3,221,15,10,17,13,8,55,10,18,0
3,1,63,2,8,4,10,2,21,2,2,0
3,0,36,0,6,0,6,0,17,0,0,0
3,0,41,0,7,0,7,0,17,0,0,0
3,1,106,2,14,4,16,2,21,2,2,0
3,0,56,0,8,0,9,0,19,0,0,0
3,0,39,0,5,0,6,0,20,0,0,0
3,0,97,0,17,0,17,0,17,0,0,0
3,0,32,0,5,0,5,0,17,0,0,0
3,0,50,0,8,0,8,0,17,0,0,0
3,0,37,0,6,0,6,0,17,0,0,0
3,0,90,0,15,0,16,0,17,0,0,0
3,0,68,0,10,0,11,0,19,0,0,0
3,0,36,0,6,0,6,0,17,0,0,0
3,0,32,0,5,0,5,0,17,0,0,0
3,0,36,0,6,0,6,0,17,0,0,0
3,0,91,0,16,0,16,0,17,0,0,0
3,0,458,0,54,0,56,0,25,0,0,0
3,0,43,0,7,0,7,0,17,0,0,0
3,0,128,0,22,0,22,0,17,0,0,0
3,0,96,0,15,0,15,0,19,0,0,0
3,1,560,129,46,240,66,4,27,6,6,1
3,2,575,2,36,38,46,4,46,4,14,1
3,1,48,22,6,25,7,2,16,2,2,0
3,1,174,-1,14,4,35,2,37,2,8,1
3,1,38,-1,4,3,6,2,16,2,2,0
3,1,28,-3,3,2,4,2,16,2,2,0
3,1,33,9,4,11,5,2,16,2,2,0
3,2,139,20,9,21,11,6,38,8,12,1
3,1,139,139,139,139,139,2,2,2,2,1
3,1,57,57,57,57,57,2,2,2,2,1
3,1,315,315,315,315,315,2,2,2,2,1
3,1,192,192,192,192,192,2,2,2,2,0
3,1,59,59,59,59,59,2,2,2,2,0
3,1,94,94,94,94,94,2,2,2,2,0
3,1,148,148,148,148,148,2,2,2,2,1
3,1,62,62,12,62,13,2,18,2,4,0
3,1,58,58,11,58,12,2,16,2,2,0
3,1,65,0,8,1,9,2,23,2,4,1
3,1,50,50,50,50,50,2,2,2,2,1
3,2,65,32,32,33,33,4,4,4,4,1
3,2,175,9,17,19,20,4,20,6,6,1
3,1,124,124,124,124,124,2,2,2,2,0
3,3,864,8,39,16,96,16,63,22,32,1
3,1,479,479,479,479,479,2,2,2,2,1
3,0,44,0,7,0,7,0,19,0,0,0
3,0,189,0,33,0,33,0,17,0,0,0
3,1,252,252,252,252,252,2,2,2,2,1
3,3,431,3,19,6,47,10,64,10,22,1
3,1,36,0,3,1,9,2,24,2,2,0
3,1,68,-1,6,0,9,2,32,2,6,1
3,0,71,0,6,0,17,0,24,0,2,1
3,1,119,34,11,48,31,2,27,4,6,0
3,1,40,0,5,7,6,2,16,2,2,0
3,2,526,6,29,29,79,6,36,4,8,1
3,1,239,239,239,239,239,2,2,2,2,0
3,1,31,1,3,2,4,2,16,2,2,0
3,1,447,447,447,447,447,2,2,2,2,0
3,2,585,10,23,22,92,10,69,12,26,1
3,1,199,-1,10,2,47,2,38,2,10,1
3,1,111,8,22,9,24,2,10,2,12,1
3,1,61,-13,5,9,10,2,22,2,2,1
3,1,62,62,62,62,62,2,2,2,2,0
3,0,473,0,74,0,76,0,19,0,0,0
3,0,80,0,14,0,14,0,17,0,0,0
3,0,750,0,132,0,132,0,17,0,0,0
3,1,35,35,35,35,35,2,2,2,2,0
3,1,32,32,32,32,32,2,2,2,2,0
3,0,30,0,5,0,5,0,17,0,0,0
3,0,89,0,15,0,15,0,17,0,0,0
3,0,106,0,18,0,18,0,17,0,0,0
3,1,41,0,5,1,6,2,16,2,2,0
3,1,30,0,3,1,4,2,16,2,2,0
3,0,178,0,14,0,16,0,34,0,6,1
3,0,34,0,5,0,6,0,17,0,0,1
3,1,49,0,5,1,7,2,28,2,2,1
3,0,95,0,95,0,95,0,2,0,2,0
3,0,281,0,29,0,67,0,27,0,0,0
3,1,35,0,4,1,5,2,16,2,2,0
3,2,78,2,7,6,9,4,29,6,8,1
3,0,61,0,5,0,12,0,24,0,4,1
3,1,30,0,3,1,4,2,16,2,2,0
3,2,119,28,18,37,21,8,26,10,10,1
3,0,53,0,8,0,9,0,19,0,0,1
3,1,197,-1,14,3,17,2,39,2,4,1
3,0,412,0,72,0,72,0,17,0,0,0
3,0,54,0,27,0,28,0,4,0,4,1
3,1,91,91,91,91,91,2,2,2,2,0
3,2,128,-1,11,2,44,4,41,4,16,1
3,0,90,0,15,0,16,0,17,0,0,0
3,0,136,0,24,0,24,0,17,0,0,0
3,0,108,0,16,0,18,0,19,0,2,0
3,0,103,0,104,0,104,0,2,0,2,1
3,0,163,0,163,0,163,0,2,0,0,0
3,0,30,0,30,0,30,0,2,0,0,0
3,2,295,2,98,4,99,4,6,6,6,0
3,1,279,5,70,5,77,2,8,4,12,1
3,1,255,5,36,15,37,2,21,4,6,0
3,1,116,8,9,9,18,2,26,4,4,1
3,0,71,0,5,0,10,0,26,0,0,1
3,0,63,0,5,0,8,0,22,0,6,0
3,0,73,0,36,0,37,0,4,0,0,1
3,1,113,17,11,17,14,2,25,2,6,1
3,1,100,-2,9,1,11,2,31,2,2,0
3,1,29,29,29,29,29,2,2,2,2,0
3,0,226,0,39,0,40,0,17,0,0,0
3,0,227,0,35,0,36,0,19,0,0,0
3,1,33,0,4,0,4,2,16,2,2,0
3,0,101,0,11,0,12,0,26,0,2,1
3,2,1062,25,33,30,82,10,87,10,42,1
3,1,455,246,65,256,68,2,14,2,10,1
3,3,598,10,25,20,140,8,72,10,24,1
3,2,103,-2,10,15,14,4,20,6,8,0
3,2,84,3,16,7,19,4,10,4,12,1
3,1,74,7,9,10,10,2,16,2,2,0
3,0,83,0,8,0,17,0,20,0,2,0
4,0,41,0,7,0,8,0,17,0,0,0
4,0,34,0,34,0,34,0,2,0,2,0
4,0,47,0,7,0,8,0,19,0,0,1
4,0,74,0,11,0,12,0,19,0,2,0
4,0,803,0,42,0,175,0,38,0,6,1
4,0,119,0,18,0,18,0,19,0,0,0
4,0,135,0,17,0,18,0,21,0,0,0
4,0,117,0,117,0,117,0,2,0,2,1
4,0,309,0,309,0,309,0,2,0,2,0
4,0,308,0,308,0,308,0,2,0,2,1
4,0,225,0,225,0,225,0,2,0,2,1
4,0,63,0,63,0,63,0,2,0,2,1
4,0,162,0,162,0,162,0,2,0,2,0
4,0,631,0,631,0,631,0,2,0,2,1
4,0,65,0,11,0,12,0,17,0,0,0
4,0,80,0,10,0,11,0,22,0,0,0
4,0,309,0,152,0,154,0,4,0,4,1
4,0,101,0,101,0,101,0,2,0,2,0
4,0,963,0,34,0,82,0,77,0,40,1
4,0,36,0,11,0,13,0,6,0,4,1
4,1,170,2,11,3,28,2,42,2,12,1
4,0,27,0,3,0,4,0,16,0,2,0
4,0,109,0,9,0,12,0,22,0,8,1
4,0,62,0,7,0,8,0,16,0,2,1
4,0,75,0,11,0,12,0,19,0,0,0
4,0,81,0,81,0,81,0,2,0,0,0
4,0,189,0,33,0,33,0,17,0,0,0
4,0,136,0,19,0,19,0,21,0,2,0
4,0,118,0,8,0,12,0,37,0,14,0
4,0,117,0,117,0,117,0,2,0,0,0
4,0,963,0,34,0,39,0,70,0,24,1
4,0,63,0,6,0,11,0,20,0,4,0
4,0,43,0,5,0,7,0,16,0,2,0
4,0,525,0,175,0,179,0,6,0,4,0
4,0,116,0,13,0,33,0,25,0,2,1
4,0,24,0,2,0,3,0,20,0,2,1
4,0,90,0,90,0,90,0,2,0,2,0
4,0,27,0,27,0,27,0,2,0,2,0
4,0,589,0,25,0,56,0,46,0,24,1
4,0,114,0,114,0,114,0,2,0,0,0
4,0,168,0,24,0,26,0,14,0,24,1
4,1,449,9,74,18,77,2,12,2,22,1
4,1,250,1,31,2,32,2,16,2,18,1
4,1,244,3,13,4,32,2,54,2,18,1
4,1,368,5,20,18,79,2,52,2,14,1
4,0,45,0,2,0,6,0,16,0,2,0
4,1,369,3,20,14,51,2,51,2,12,1
4,0,37,0,1,0,5,0,16,0,2,0
4,0,96,0,7,0,8,0,38,0,8,0
4,0,77,0,10,0,12,0,21,0,0,1
4,0,31,0,16,0,16,0,4,0,4,0
4,0,221,0,10,0,13,0,55,0,18,0
4,0,63,0,8,0,10,0,21,0,2,0
4,0,36,0,6,0,6,0,17,0,0,0
4,0,41,0,7,0,7,0,17,0,0,0
4,0,106,0,14,0,16,0,21,0,2,0
4,0,56,0,8,0,9,0,19,0,0,0
4,0,39,0,5,0,6,0,20,0,0,0
4,0,97,0,17,0,17,0,17,0,0,0
4,0,32,0,5,0,5,0,17,0,0,0
4,0,50,0,8,0,8,0,17,0,0,0
4,0,37,0,6,0,6,0,17,0,0,0
4,0,90,0,15,0,16,0,17,0,0,0
4,0,68,0,10,0,11,0,19,0,0,0
4,0,36,0,6,0,6,0,17,0,0,0
4,0,32,0,5,0,5,0,17,0,0,0
4,0,36,0,6,0,6,0,17,0,0,0
4,0,91,0,16,0,16,0,17,0,0,0
4,0,458,0,54,0,56,0,25,0,0,0
4,0,43,0,7,0,7,0,17,0,0,0
4,0,128,0,22,0,22,0,17,0,0,0
4,0,96,0,15,0,15,0,19,0,0,0
4,0,560,0,46,0,66,0,27,0,6,1
4,1,584,9,34,55,47,2,48,2,16,1
4,0,48,0,6,0,7,0,16,0,2,0
4,0,174,0,14,0,35,0,37,0,8,1
4,0,38,0,4,0,6,0,16,0,2,0
4,0,28,0,3,0,4,0,16,0,2,0
4,0,33,0,4,0,5,0,16,0,2,0
4,0,139,0,9,0,11,0,38,0,12,1
4,0,139,0,139,0,139,0,2,0,2,1
4,0,57,0,57,0,57,0,2,0,2,1
4,0,315,0,315,0,315,0,2,0,2,1
4,0,192,0,192,0,192,0,2,0,2,0
