@relation dataset-20-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
0,49,0,6,0,7,0,23,0,6,0
0,73,0,73,0,73,0,2,0,2,0
0,58,0,58,0,58,0,2,0,2,1
0,30,0,30,0,30,0,2,0,2,0
0,33,0,33,0,33,0,2,0,2,0
2,61,5,4,5,15,4,37,4,16,0
0,104,0,104,0,104,0,2,0,2,1
0,74,0,11,0,12,0,19,0,2,0
0,875,0,29,0,122,0,60,0,32,1
0,45,0,45,0,45,0,2,0,2,1
1,114,-4,13,6,14,2,25,6,12,1
0,132,0,14,0,16,0,25,0,6,0
0,74,0,11,0,11,0,19,0,4,1
0,46,0,23,0,23,0,4,0,6,0
0,117,0,11,0,13,0,26,0,4,1
0,108,0,108,0,108,0,2,0,2,1
4,1404,23,21,28,54,14,167,24,170,1
0,157,0,26,0,27,0,12,0,10,1
1,385,10,29,10,38,2,26,4,38,1
0,36,0,9,0,10,0,8,0,8,0
0,42,0,42,0,42,0,2,0,2,1
3,313,48,12,75,26,6,64,6,34,1
0,27,0,3,0,4,0,16,0,2,0
1,54,54,54,54,54,2,2,0,0,1
0,156,0,9,0,12,0,34,0,26,1
0,89,0,9,0,10,0,18,0,4,0
1,81,3,41,6,42,2,4,2,4,0
0,113,0,13,0,14,0,23,0,4,1
1,78,4,38,10,41,2,4,2,4,1
1,83,2,28,4,29,2,6,4,6,0
0,43,0,43,0,43,0,2,0,2,0
0,48,0,48,0,48,0,2,0,2,0
0,184,0,24,0,25,0,23,0,8,0
0,135,0,16,0,17,0,25,0,8,0
0,173,0,86,0,91,0,4,0,6,1
0,36,0,36,0,36,0,2,0,2,0
0,157,0,7,0,12,0,51,0,30,1
4,1244,12,21,19,31,12,140,8,98,1
0,55,0,5,0,10,0,22,0,6,0
0,43,0,5,0,7,0,16,0,2,0
0,65,0,65,0,65,0,2,0,2,1
0,80,0,80,0,80,0,2,0,2,1
0,137,0,137,0,137,0,2,0,2,1
