@relation dataset-1-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
2,95,31,31,47,47,3,3,0,0,YES
3,49,22,22,23,23,4,4,2,2,YES
2,407,101,101,106,106,4,4,1,1,YES
3,178,44,44,47,47,4,4,1,1,YES
1,228,114,114,115,115,2,2,3,3,YES
1,36,36,36,36,36,1,1,0,0,NO
3,124,20,20,39,39,6,6,2,2,YES
2,58,29,29,36,36,2,2,0,0,NO
2,120,40,40,42,42,3,3,0,0,YES
2,124,31,31,34,34,4,4,0,0,YES
2,160,53,53,54,54,3,3,0,0,YES
2,42,21,21,21,21,2,2,0,0,NO
3,244,49,49,50,50,5,5,1,1,YES
3,924,61,61,75,75,15,15,11,11,YES
3,95,19,19,27,27,5,5,2,2,YES
3,163,20,20,23,23,8,8,5,5,YES
3,83,20,20,27,27,4,4,1,1,NO
3,139,27,27,29,29,5,5,1,1,YES
3,354,29,29,37,37,12,12,8,8,YES
2,185,37,37,38,38,5,5,1,1,YES
3,494,49,49,94,94,10,10,5,5,YES
2,656,109,109,139,139,6,6,5,5,YES
3,83,20,20,28,28,4,4,0,0,YES
3,119,30,30,31,31,4,4,1,1,NO
2,664,221,221,267,267,3,3,0,0,YES
3,83,11,11,107,107,7,7,1,1,NO
2,162,32,32,35,35,5,5,1,1,NO
1,41,41,41,41,41,1,1,0,0,NO
2,67,33,33,34,34,2,2,0,0,NO
2,85,28,28,29,29,3,3,0,0,NO
2,43,21,21,23,23,2,2,0,0,NO
3,165,41,41,46,46,4,4,1,1,NO
2,27,13,13,14,14,2,2,0,0,NO
1,73,73,73,73,73,1,1,0,0,YES
2,112,56,56,57,57,2,2,0,0,NO
1,38,38,38,38,38,1,1,0,0,NO
2,53,17,17,19,19,3,3,0,0,NO
3,135,47,47,48,48,7,7,7,7,YES
1,45,45,45,45,45,1,1,0,0,NO
2,111,27,27,29,29,4,4,0,0,YES
2,58,29,29,29,29,2,2,0,0,NO
2,45,15,15,16,16,3,3,0,0,NO
1,25,25,25,25,25,1,1,0,0,NO
1,26,26,26,26,26,1,1,0,0,NO
2,27,13,13,14,14,2,2,0,0,YES
3,167,27,27,31,31,6,6,0,0,YES
3,55,13,13,15,15,4,4,0,0,YES
1,45,45,45,45,45,1,1,0,0,NO
3,424,42,42,57,57,10,10,6,6,YES
1,20,20,20,20,20,1,1,0,0,NO
2,91,30,30,45,45,3,3,0,0,NO
3,510,127,127,135,135,4,4,2,2,YES
3,184,30,30,31,31,6,6,2,2,YES
2,89,44,44,45,45,2,2,0,0,NO
1,174,174,174,174,174,1,1,1,1,YES
2,34,17,17,18,18,2,2,0,0,NO
3,116,23,23,25,25,5,5,1,1,NO
2,65,97,97,100,100,4,4,0,0,NO
1,333,333,333,333,333,1,1,0,0,YES
2,44,22,22,23,23,2,2,0,0,NO
2,54,27,27,27,27,2,2,0,0,YES
2,63,21,21,23,23,3,3,0,0,NO
2,144,36,36,38,38,4,4,0,0,YES
2,208,41,41,44,44,5,5,0,0,YES
1,125,125,125,125,125,1,1,0,0,YES
2,528,132,132,145,145,4,4,0,0,YES
1,463,463,463,463,463,1,1,1,1,YES
2,71,35,35,37,37,2,2,0,0,NO
2,58,29,29,29,29,2,2,0,0,YES
1,34,34,34,34,34,1,1,0,0,NO
3,496,62,62,70,70,8,8,5,5,YES
3,142,15,15,21,21,9,9,5,5,NO
3,73,14,14,16,16,5,5,1,1,NO
3,135,22,22,25,25,6,6,2,2,YES
2,76,19,19,29,29,4,4,0,0,NO
3,142,35,35,37,37,4,4,1,1,YES
3,686,52,52,102,102,13,13,7,7,YES
2,157,39,39,41,41,4,4,0,0,NO
1,184,184,184,184,184,1,1,1,1,NO
1,130,130,130,130,130,1,1,1,1,YES
1,89,89,89,89,89,1,1,1,1,NO
3,224,28,28,32,32,8,8,3,3,YES
3,153,15,15,21,21,10,10,6,6,YES
2,134,33,33,36,36,4,4,0,0,NO
3,177,25,25,29,29,7,7,3,3,YES
3,211,30,30,57,57,7,7,2,2,YES
2,385,128,128,132,132,3,3,0,0,YES
3,61,12,12,14,14,5,5,1,1,NO
3,49,12,12,13,13,4,4,1,1,NO
